name,station_id,lat,long,periodic_qw,streamflow,turb,WT,SC,new_qw_station,prog_info
Blacktail Creek ab. Grove Gulch,12323233,45.9912694,-112.5273583,X,X,X,X,,,COOP
Silver Bow Cr at Montana St.,12323242,45.99572778,-112.538761,X,X,X,X,,,COOP
Silver Bow Cr bl Blacktail Cr,12323250,45.996575,-112.5634889,X,X,,,,,COOP
Silver Bow Cr at Opportunity,12323600,46.1077583,-112.8052833,X,X,,X,,,Warm Springs Program
Mill Creek near Anaconda,12323670,46.0829722,-112.9171889,X,X,,,,,Anaconda Program
Mill Creek at Opportunity,12323700,46.11437778,-112.819775,X,X,X,,,,Anaconda Program
Willow Creek near Anaconda,12323710,46.0645111,-112.8935306,X,X,,,,,Anaconda Program
Willow Creek at Opportunity,12323720,46.10716389,-112.810611,X,X,X,,,,Anaconda Program
Silver Bow Cr at Warm Springs,12323750,46.1794972,-112.780561,X,X,,X,,,Warm Springs Program
Warm Springs Cr near Anaconda,12323760,46.13366667,-112.9031528,X,X,,,,,Anaconda Program
Warm Springs Cr at Warm Springs,12323770,46.180375,-112.7850778,X,X,X,X,,,Anaconda Program
Clark Fork near Galen,12323800,46.20824167,-112.76735,X,X,X,X,X,X,Lower Clark Fork Program
Lost Creek near Anaconda,12323840,46.161325,-112.8937972,X,X,X,,,,Anaconda Program
Lost Creek near Galen,12323850,46.2185722,-112.7741667,X,X,,,,,Anaconda Program
Clark Fork at Deer Lodge,12324200,46.39765,-112.7425389,X,X,X,X,X,X,Lower Clark Fork Program
Clark Fork ab. Little Blackfoot R.,12324400,46.5109111,-112.789686,X,X,X,X,X,X,Lower Clark Fork Program
Clark Fork at Gold Creek,12324680,46.58998889,-112.9287139,X,X,,,,,Lower Clark Fork Program
Clark Fork near Drummond,12331800,46.71191389,-113.3307806,X,X,,,,,Lower Clark Fork Program
Clark Fork at Turah Bridge,12334550,46.8259111,-113.8140306,X,X,,,,,Lower Clark Fork Program
Blackfoot River near Bonner,12340000,46.8994111,-113.7563194,X,X,,,,,Lower Clark Fork Program
Clark Fork above Missoula,12340500,46.87676389,-113.9321194,X,X,X,X,X,X,Lower Clark Fork Program
